"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"50","Another quote from @DLabaree's piece:

""(Statistics) allow researchers to be methodologically sophisticated at expl… https://t.co/5GKaoE9oG3",FALSE,0,NA,2019-04-16 20:27:39,TRUE,NA,"1118249615445254144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Paul_Franz",0,FALSE,FALSE,NA,NA
"51","RT @MicroStrategy: As data science evolves and barriers continue to break, #AI and #machinelearning are playing a critical role. See the AI…",FALSE,0,NA,2019-04-16 20:24:12,FALSE,NA,"1118248750508539914",NA,"<a href=""https://curiousluke.com"" rel=""nofollow"">RTML</a>","TheCuriousLuke",61,TRUE,FALSE,NA,NA
"52","RT @MicroStrategy: As data science evolves and barriers continue to break, #AI and #machinelearning are playing a critical role. See the AI…",FALSE,0,NA,2019-04-16 20:23:40,FALSE,NA,"1118248614281797633",NA,"<a href=""http://gaggleamp.com/twit/"" rel=""nofollow"">GaggleAMP</a>","RichieCober",61,TRUE,FALSE,NA,NA
"53","RT @EssexMaths: Got a background in computer science or data science? Considering a PhD at Essex and want an exciting research project? We’…",FALSE,0,NA,2019-04-16 20:21:17,FALSE,NA,"1118248016371159045",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hansa_DB",3,TRUE,FALSE,NA,NA
"54","RT @DWShaffer: Hey! Look at the latest from the eminent @sbuckshum:

https://t.co/iA37ZERoBa https://t.co/THfWSDEQDR",FALSE,0,NA,2019-04-16 20:20:53,FALSE,NA,"1118247912910225409",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","EpistemicUW",1,TRUE,FALSE,NA,NA
"55","RT @MicroStrategy: As data science evolves and barriers continue to break, #AI and #machinelearning are playing a critical role. See the AI…",FALSE,0,NA,2019-04-16 20:16:37,FALSE,NA,"1118246841114669057",NA,"<a href=""http://gaggleamp.com/twit/"" rel=""nofollow"">GaggleAMP</a>","LP_lpereira",61,TRUE,FALSE,NA,NA
"56","RT @wpacademypro: #EasterSale #Discounts | #Review of #DeepLearning A-Z™ Hands-On Artificial #NeuralNetworks 

https://t.co/uajidVhbvo

#Di…",FALSE,0,NA,2019-04-16 20:08:35,FALSE,NA,"1118244821011980289",NA,"<a href=""http://127.0.0.1"" rel=""nofollow"">rstatsretweetingtool</a>","rstatstweet",1,TRUE,FALSE,NA,NA
"57","#EasterSale #Discounts | #Review of #DeepLearning A-Z™ Hands-On Artificial #NeuralNetworks… https://t.co/gDii3WZdQw",FALSE,1,NA,2019-04-16 20:00:51,TRUE,NA,"1118242872862679041",NA,"<a href=""https://panel.socialpilot.co/"" rel=""nofollow"">SocialPilot.co</a>","wpacademypro",1,FALSE,FALSE,NA,NA
"58","Learning and development: How HR leverages artificial intelligence, analytics to recruit, retrain, reward… https://t.co/QkqW6sZWjy",FALSE,0,NA,2019-04-16 20:00:19,TRUE,NA,"1118242736749121536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","partnercomm",0,FALSE,FALSE,NA,NA
"59","Accurate and early diagnosis of Diabetic Retinopathy is now attainable — using #AI algorithms to screen and compare… https://t.co/Mq88NHOhdD",FALSE,3,NA,2019-04-16 20:00:06,TRUE,NA,"1118242684831969282",NA,"<a href=""https://www.spredfast.com"" rel=""nofollow"">Spredfast</a>","CognizantThink",0,FALSE,FALSE,NA,NA
"60","Do you have your #Learning workflows?governance model in place? Is your learning process optimized? &amp;Have… https://t.co/hYO3j6drqy",FALSE,0,NA,2019-04-16 19:59:59,TRUE,NA,"1118242656063250435",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","Pixentia",0,FALSE,FALSE,NA,NA
"61","RT @mathew_jaya: Wise Practitioner – Predictive Analytics Interview Series: Jaya Mathew, Microsoft - Predictive Analytics Times - machine l…",FALSE,0,NA,2019-04-16 19:55:33,FALSE,NA,"1118241538780401664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fcolmenero",5,TRUE,FALSE,NA,NA
"62","RT @ethosIQ: How machine learning and #datamining technology enhance #CX. Check out the blog post below! 

#AI #bigdata #analytics #iot #te…",FALSE,0,NA,2019-04-16 19:54:02,FALSE,NA,"1118241158574985216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SBohlmanSmith",1,TRUE,FALSE,NA,NA
"63","Kx Analyst now free for enterprise kdb+ users! Full-featured visualization platform with added data transformation… https://t.co/86wvYIeNKw",FALSE,2,NA,2019-04-16 19:51:01,TRUE,NA,"1118240396721700864",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","kxsystems",0,FALSE,FALSE,NA,NA
"64","RT @WileyEd: The Most Difficult Part about AI/Machine Learning Occurs after the Model is Created https://t.co/aJj6VO1Xiw  | #DataScience #M…",FALSE,0,NA,2019-04-16 19:50:02,FALSE,NA,"1118240149211508737",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","chidambara09",8,TRUE,FALSE,NA,NA
"65","RT @FernandoHuamanX: Machine Learning Algorithms Cheat Sheet.

#Analytics #MalWare #Python #RStats #TensorFlow #ReactJS #VueJS #GoLang #Ser…",FALSE,0,NA,2019-04-16 19:49:25,FALSE,NA,"1118239994773004289",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CodementorJS",34,TRUE,FALSE,NA,NA
"66","@TradesTalk Q3 I find analytics as easy as learning Chinese so no! #TradesTalk",FALSE,4,"TradesTalk",2019-04-16 19:48:16,FALSE,"1118233971190632450","1118239704288247810","856863015068676096","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Gsharptools",0,FALSE,FALSE,NA,NA
"67","RT @RichardEudes: A brief History Of Data Science #Infographic https://t.co/4XIWYHvUeH #analytics, #bigdata #DataScience",FALSE,0,NA,2019-04-16 19:42:57,FALSE,NA,"1118238368494538752",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","chidambara09",1,TRUE,FALSE,NA,NA
"68","ICYMI: Corent Technology has collaborated with MapR to offer innovative new options for customers who want to more… https://t.co/yj7T1ZJUUt",FALSE,0,NA,2019-04-16 19:41:09,TRUE,NA,"1118237913974751233",NA,"<a href=""https://www.oktopost.com"" rel=""nofollow"">Oktopost</a>","Annabelle_Ross",0,FALSE,FALSE,NA,NA
"69","Nvidia GPUs for data science, analytics, and distributed machine learning using Python with Dask | ZDNet… https://t.co/VlYiAFE0vR",FALSE,1,NA,2019-04-16 19:41:01,TRUE,NA,"1118237882651742208",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","MarkTabNet",0,FALSE,FALSE,NA,NA
"70","Our annual #data &amp; #analytics user conference is a fantastic combination of learning, networking, &amp; fun. There are… https://t.co/JwPIOI4DLS",FALSE,8,NA,2019-04-16 19:40:14,TRUE,NA,"1118237686404407297",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","infobldrs",1,FALSE,FALSE,NA,NA
"71","RT @sharplm: Paper on powerful ways to predict students' performance - the challenges now are to give appropriate feedback to students and…",FALSE,0,NA,2019-04-16 19:39:29,FALSE,NA,"1118237495362121728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nichthus",10,TRUE,FALSE,NA,NA
"72","RT @planetlabs: Planet’s Senior Director of Analytics Engineering, Gopal Erinjippurath, shared his thoughts on leveraging data, machine lea…",FALSE,0,NA,2019-04-16 19:38:54,FALSE,NA,"1118237348951744512",NA,"<a href=""http://yiu.co.uk"" rel=""nofollow"">OAuth Gateway App</a>","deepindex",7,TRUE,FALSE,NA,NA
"73","@prof_wagnerst @ProfMShepperd Analytics is machine learning. Yes.",FALSE,0,"prof_wagnerst",2019-04-16 19:38:39,FALSE,"1118232175944531968","1118237284539797505","68186121","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","timmenzies",0,FALSE,FALSE,NA,NA
"74","RT @IBMAnalytics: Three ways to reinforce and get the most out of your #ArtificialIntelligence and #MachineLearning implementation <f0><U+009F><U+0099><U+008C><f0><U+009F><U+008F><U+00BD> - rea…",FALSE,0,NA,2019-04-16 19:32:19,FALSE,NA,"1118235693405343749",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jusami",15,TRUE,FALSE,NA,NA
"75","A brief History Of Data Science #Infographic https://t.co/4XIWYHvUeH #analytics, #bigdata #DataScience",FALSE,0,NA,2019-04-16 19:30:02,FALSE,NA,"1118235117904891912",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","RichardEudes",1,FALSE,FALSE,NA,NA
"76","RT @PropellerInc: Learn how @PepsiCo used their cloud-based #data and #analytics platform to drive 80 percent of their new product’s sales…",FALSE,0,NA,2019-04-16 19:22:35,FALSE,NA,"1118233244619591680",NA,"<a href=""http://web2news.com"" rel=""nofollow"">Machine Learning Digest</a>","machinelearn_d",1,TRUE,FALSE,NA,NA
"77","RT @planetlabs: Planet’s Senior Director of Analytics Engineering, Gopal Erinjippurath, shared his thoughts on leveraging data, machine lea…",FALSE,0,NA,2019-04-16 19:20:08,FALSE,NA,"1118232626513334272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wballantineIII",7,TRUE,FALSE,NA,NA
"78","RT @planetlabs: Planet’s Senior Director of Analytics Engineering, Gopal Erinjippurath, shared his thoughts on leveraging data, machine lea…",FALSE,0,NA,2019-04-16 19:18:59,FALSE,NA,"1118232336317976576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CSBiggers",7,TRUE,FALSE,NA,NA
"79","RT @Welteninstitute: Available: Read Between The Lines,  paper published at the Learning Analytics &amp; Knowledge Conference 2019 #LAK19 

Lin…",FALSE,0,NA,2019-04-16 19:12:41,FALSE,NA,"1118230750501822464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ClearDiff",1,TRUE,FALSE,NA,NA
"80","RT @MorganStanley: Data warehousing, analytics and software take center stage as companies harness a new era of artificial intelligence, au…",FALSE,0,NA,2019-04-16 19:12:28,FALSE,NA,"1118230697888579585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MtrStokes",246,TRUE,FALSE,NA,NA
"81","The Most Difficult Part about AI/Machine Learning Occurs after the Model is Created https://t.co/aJj6VO1Xiw  |… https://t.co/1US2Gj5vwj",FALSE,9,NA,2019-04-16 19:11:02,TRUE,NA,"1118230337732120576",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","WileyEd",8,FALSE,FALSE,NA,NA
"82","Interested in learning critical identity and privacy skills to lead your organization? Join the Identity Leadership… https://t.co/4TrfthkYRU",FALSE,1,NA,2019-04-16 19:09:00,TRUE,NA,"1118229823221063681",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","ID_Analytics",4,FALSE,FALSE,NA,NA
"83","RT @planetlabs: Planet’s Senior Director of Analytics Engineering, Gopal Erinjippurath, shared his thoughts on leveraging data, machine lea…",FALSE,0,NA,2019-04-16 19:08:15,FALSE,NA,"1118229637585223680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NairRamesh93",7,TRUE,FALSE,NA,NA
"84","Education analytics provides demonstrable success, improves learning outcomes. I'm incredibly impressed by the data… https://t.co/HCFID1qKkm",FALSE,3,NA,2019-04-16 19:04:14,TRUE,NA,"1118228626263040000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cathycavanaugh",0,FALSE,FALSE,NA,NA
"85","@daniel_julia @blogoff Digo que no encuentro estudios, tengo el google scholar tan entrenado en learning analytics… https://t.co/COolaKu3TL",FALSE,0,"daniel_julia",2019-04-16 19:03:36,TRUE,"1118225198111703040","1118228464455364610","6691632","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","danielamof",0,FALSE,FALSE,NA,NA
"86","The 10 Deep Learning Methods AI Practitioners Need to Apply https://t.co/2A4wzJWRqn #analytics, #bigdata,… https://t.co/uCIXQeyt4L",FALSE,2,NA,2019-04-16 19:00:29,TRUE,NA,"1118227682192429058",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","RichardEudes",0,FALSE,FALSE,NA,NA
"87","Learn how @PepsiCo used their cloud-based #data and #analytics platform to drive 80 percent of their new product’s… https://t.co/TUOylatIzq",FALSE,1,NA,2019-04-16 19:00:26,TRUE,NA,"1118227667403313152",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","PropellerInc",1,FALSE,FALSE,NA,NA
"88","The latest update for @cloudera includes ""Demystifying Spark Jobs to Optimize for Cost and Performance"" and ""A Guid… https://t.co/IqUayoNcej",FALSE,0,NA,2019-04-16 19:00:11,TRUE,NA,"1118227604925030402",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","opsmatters_uk",0,FALSE,FALSE,NA,NA
"89","Available: Read Between The Lines,  paper published at the Learning Analytics &amp; Knowledge Conference 2019 #LAK19… https://t.co/HkQdEE9uiY",FALSE,1,NA,2019-04-16 19:00:02,TRUE,NA,"1118227566542905344",NA,"<a href=""http://www.coosto.com"" rel=""nofollow"">Coosto</a>","Welteninstitute",1,FALSE,FALSE,NA,NA
"90","RT @planetlabs: Planet’s Senior Director of Analytics Engineering, Gopal Erinjippurath, shared his thoughts on leveraging data, machine lea…",FALSE,0,NA,2019-04-16 18:58:27,FALSE,NA,"1118227168629121024",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","GoForStaging",7,TRUE,FALSE,NA,NA
"91","Planet’s Senior Director of Analytics Engineering, Gopal Erinjippurath, shared his thoughts on leveraging data, mac… https://t.co/AJ8oKXafuB",FALSE,22,NA,2019-04-16 18:56:45,TRUE,NA,"1118226742928240640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","planetlabs",7,FALSE,FALSE,NA,NA
"92","OU as case study for analysis of learning analytics https://t.co/px7sBj7A42",FALSE,0,NA,2019-04-16 18:55:55,FALSE,NA,"1118226533573898240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FraternalWriter",0,FALSE,FALSE,NA,NA
"93","RT @Upstream_Works: AI, machine learning &amp; analytics for customer care. Sounds great but not sure where to begin? Join Upstream Works at th…",FALSE,0,NA,2019-04-16 18:39:09,FALSE,NA,"1118222312480956416",NA,"<a href=""http://www.thekazushi.com"" rel=""nofollow"">AI Industry News</a>","IndustryAi",1,TRUE,FALSE,NA,NA
"94","AI, machine learning &amp; analytics for customer care. Sounds great but not sure where to begin? Join Upstream Works a… https://t.co/neUNIA5vZf",FALSE,1,NA,2019-04-16 18:38:23,TRUE,NA,"1118222121518366720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Upstream_Works",1,FALSE,FALSE,NA,NA
"95","RT learningsolpub: Certificates or degrees in machine learning or data and analytics could give L&amp;D professionals a… https://t.co/nIivs6CaMh",FALSE,0,NA,2019-04-16 18:34:39,TRUE,NA,"1118221179142250502",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","klillico72",0,FALSE,FALSE,NA,NA
"96","RT @amalmerzouk: “unsupervised machine learning promises to identify new clusters of behavior, allowing FIs to respond to activities that w…",FALSE,0,NA,2019-04-16 18:33:04,FALSE,NA,"1118220780649709571",NA,"<a href=""https://curiousluke.com"" rel=""nofollow"">RTML</a>","TheCuriousLuke",3,TRUE,FALSE,NA,NA
"97","RT @amalmerzouk: “unsupervised machine learning promises to identify new clusters of behavior, allowing FIs to respond to activities that w…",FALSE,0,NA,2019-04-16 18:32:43,FALSE,NA,"1118220694511337477",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oluskayacan",3,TRUE,FALSE,NA,NA
"98","RT @RichardEudes: 140 Machine Learning Formulas https://t.co/7GRAZXTqb7 #analytics, #bigdata #DataScience",FALSE,0,NA,2019-04-16 18:31:35,FALSE,NA,"1118220409671946245",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","udayadampage",2,TRUE,FALSE,NA,NA
"99","Case Study - ""Tomb Raider?""
Machine learning and analytics in Tomb Raider 

Blog - https://t.co/Bx1pkTgg1f
Video -… https://t.co/cpfocqhrYG",FALSE,1,NA,2019-04-16 18:30:29,TRUE,NA,"1118220132814397440",NA,"<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","AIandGames",0,FALSE,FALSE,NA,NA
"100","140 Machine Learning Formulas https://t.co/7GRAZXTqb7 #analytics, #bigdata #DataScience",FALSE,0,NA,2019-04-16 18:30:00,FALSE,NA,"1118220009757728769",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","RichardEudes",2,FALSE,FALSE,NA,NA
